,size,time,type,value,sid
189,0,2018-04-24 05:17:42,BID,9257.0,XBTUSD KRKN Curncy
190,0,2018-04-24 05:17:42,ASK,9258.2,XBTUSD KRKN Curncy
191,0,2018-04-24 05:17:42,TRADE,9257.0,XBTUSD KRKN Curncy
192,0,2018-04-24 05:22:36,BID,9254.9,XBTUSD KRKN Curncy
193,0,2018-04-24 05:22:36,ASK,9255.0,XBTUSD KRKN Curncy
194,0,2018-04-24 05:22:36,TRADE,9254.9,XBTUSD KRKN Curncy
195,0,2018-04-24 05:27:44,BID,9250.7,XBTUSD KRKN Curncy
196,0,2018-04-24 05:27:44,ASK,9253.3,XBTUSD KRKN Curncy
197,0,2018-04-24 05:27:44,TRADE,9254.0,XBTUSD KRKN Curncy
198,0,2018-04-24 05:32:53,BID,9244.3,XBTUSD KRKN Curncy
199,0,2018-04-24 05:32:53,ASK,9253.1,XBTUSD KRKN Curncy
200,0,2018-04-24 05:32:53,TRADE,9253.1,XBTUSD KRKN Curncy
201,0,2018-04-24 05:37:57,BID,9292.1,XBTUSD KRKN Curncy
202,0,2018-04-24 05:37:57,ASK,9296.0,XBTUSD KRKN Curncy
203,0,2018-04-24 05:37:57,TRADE,9296.0,XBTUSD KRKN Curncy
204,0,2018-04-24 05:42:49,BID,9282.0,XBTUSD KRKN Curncy
205,0,2018-04-24 05:42:49,ASK,9287.0,XBTUSD KRKN Curncy
206,0,2018-04-24 05:42:49,TRADE,9294.3,XBTUSD KRKN Curncy
207,0,2018-04-24 05:47:52,BID,9294.2,XBTUSD KRKN Curncy
208,0,2018-04-24 05:47:52,ASK,9294.4,XBTUSD KRKN Curncy
209,0,2018-04-24 05:47:52,TRADE,9294.4,XBTUSD KRKN Curncy
210,0,2018-04-24 05:52:40,BID,9305.0,XBTUSD KRKN Curncy
211,0,2018-04-24 05:52:40,ASK,9306.0,XBTUSD KRKN Curncy
212,0,2018-04-24 05:52:40,TRADE,9305.0,XBTUSD KRKN Curncy
213,0,2018-04-24 05:57:42,BID,9308.5,XBTUSD KRKN Curncy
214,0,2018-04-24 05:57:42,ASK,9308.7,XBTUSD KRKN Curncy
215,0,2018-04-24 05:57:42,TRADE,9308.5,XBTUSD KRKN Curncy
216,0,2018-04-24 06:02:46,BID,9298.0,XBTUSD KRKN Curncy
217,0,2018-04-24 06:02:46,ASK,9300.0,XBTUSD KRKN Curncy
218,0,2018-04-24 06:02:46,TRADE,9300.0,XBTUSD KRKN Curncy
219,0,2018-04-24 06:07:35,BID,9296.5,XBTUSD KRKN Curncy
220,0,2018-04-24 06:07:35,ASK,9299.8,XBTUSD KRKN Curncy
221,0,2018-04-24 06:07:35,TRADE,9299.8,XBTUSD KRKN Curncy
222,0,2018-04-24 06:12:56,BID,9297.3,XBTUSD KRKN Curncy
223,0,2018-04-24 06:12:56,ASK,9302.5,XBTUSD KRKN Curncy
224,0,2018-04-24 06:12:56,TRADE,9305.0,XBTUSD KRKN Curncy
225,0,2018-04-24 06:17:10,BID,9289.7,XBTUSD KRKN Curncy
226,0,2018-04-24 06:17:10,ASK,9293.8,XBTUSD KRKN Curncy
227,0,2018-04-24 06:17:10,TRADE,9301.4,XBTUSD KRKN Curncy
228,0,2018-04-24 06:22:33,BID,9282.4,XBTUSD KRKN Curncy
229,0,2018-04-24 06:22:33,ASK,9288.1,XBTUSD KRKN Curncy
230,0,2018-04-24 06:22:33,TRADE,9282.0,XBTUSD KRKN Curncy
231,0,2018-04-24 06:27:14,BID,9281.0,XBTUSD KRKN Curncy
232,0,2018-04-24 06:27:14,ASK,9286.3,XBTUSD KRKN Curncy
233,0,2018-04-24 06:27:14,TRADE,9284.7,XBTUSD KRKN Curncy
234,0,2018-04-24 06:33:13,BID,9268.0,XBTUSD KRKN Curncy
235,0,2018-04-24 06:33:13,ASK,9268.1,XBTUSD KRKN Curncy
236,0,2018-04-24 06:33:13,TRADE,9268.2,XBTUSD KRKN Curncy
237,0,2018-04-24 06:37:09,BID,9259.2,XBTUSD KRKN Curncy
238,0,2018-04-24 06:37:09,ASK,9259.3,XBTUSD KRKN Curncy
239,0,2018-04-24 06:37:09,TRADE,9254.2,XBTUSD KRKN Curncy
240,0,2018-04-24 06:42:59,BID,9264.1,XBTUSD KRKN Curncy
241,0,2018-04-24 06:42:59,ASK,9269.7,XBTUSD KRKN Curncy
242,0,2018-04-24 06:42:59,TRADE,9267.1,XBTUSD KRKN Curncy
243,0,2018-04-24 06:47:46,BID,9264.4,XBTUSD KRKN Curncy
244,0,2018-04-24 06:47:46,ASK,9264.8,XBTUSD KRKN Curncy
245,0,2018-04-24 06:47:46,TRADE,9264.8,XBTUSD KRKN Curncy
246,0,2018-04-24 06:52:34,BID,9263.0,XBTUSD KRKN Curncy
247,0,2018-04-24 06:52:34,ASK,9267.3,XBTUSD KRKN Curncy
248,0,2018-04-24 06:52:34,TRADE,9268.1,XBTUSD KRKN Curncy
249,0,2018-04-24 06:57:08,BID,9271.9,XBTUSD KRKN Curncy
250,0,2018-04-24 06:57:08,ASK,9272.0,XBTUSD KRKN Curncy
251,0,2018-04-24 06:57:08,TRADE,9272.0,XBTUSD KRKN Curncy
252,0,2018-04-24 07:02:21,BID,9249.1,XBTUSD KRKN Curncy
253,0,2018-04-24 07:02:21,ASK,9251.1,XBTUSD KRKN Curncy
254,0,2018-04-24 07:02:21,TRADE,9250.0,XBTUSD KRKN Curncy
255,0,2018-04-24 07:07:15,BID,9231.2,XBTUSD KRKN Curncy
256,0,2018-04-24 07:07:15,ASK,9235.0,XBTUSD KRKN Curncy
257,0,2018-04-24 07:07:15,TRADE,9235.0,XBTUSD KRKN Curncy
258,0,2018-04-24 07:12:18,BID,9221.8,XBTUSD KRKN Curncy
259,0,2018-04-24 07:12:18,ASK,9228.6,XBTUSD KRKN Curncy
260,0,2018-04-24 07:12:18,TRADE,9215.0,XBTUSD KRKN Curncy
261,0,2018-04-24 07:17:25,BID,9232.9,XBTUSD KRKN Curncy
262,0,2018-04-24 07:17:25,ASK,9233.8,XBTUSD KRKN Curncy
263,0,2018-04-24 07:17:25,TRADE,9235.7,XBTUSD KRKN Curncy
264,0,2018-04-24 07:22:09,BID,9235.7,XBTUSD KRKN Curncy
265,0,2018-04-24 07:22:09,ASK,9241.0,XBTUSD KRKN Curncy
266,0,2018-04-24 07:22:09,TRADE,9235.7,XBTUSD KRKN Curncy
267,0,2018-04-24 07:27:16,BID,9246.1,XBTUSD KRKN Curncy
268,0,2018-04-24 07:27:16,ASK,9247.9,XBTUSD KRKN Curncy
